Designator,Mid X,Mid Y,Rotation,Layer
AE1,146.7104,-135.877805,180.0,top
C1,73.2536,-113.03,180.0,top
C2,80.9244,-113.201888,270.0,top
D1,123.317,-111.379,180.0,top
D2,123.317,-107.061,180.0,top
D3,123.2916,-115.6118,180.0,top
D4,94.1324,-113.157,0.0,top
D5,94.1324,-109.6204,0.0,top
J1,106.71,-65.31,180.0,top
J12,102.0572,-143.9672,180.0,top
J2,101.4349,-113.03,90.0,top
J3,138.8364,-110.495,90.0,top
J4,138.8364,-102.8192,270.0,top
J5,138.811,-97.536,270.0,top
J6,138.8618,-119.3596,90.0,top
J7,109.6772,-143.9672,180.0,top
J8,91.948,-74.9046,90.0,top
J9,91.948,-102.87,90.0,top
R1,129.96511,-134.415305,90.0,top
R2,134.8232,-135.877805,0.0,top
R3,139.66791,-134.415305,90.0,top
R4,84.7598,-108.4072,180.0,top
R5,71.9074,-108.4072,0.0,top
R6,129.032,-102.87,0.0,top
R7,129.0066,-97.536,180.0,top
SW1,92.964,-123.0872,90.0,top
U1,110.8964,-128.4478,180.0,top
U2,91.948,-88.9,90.0,top
U3,85.41051,-127.5629,90.0,top
